# 合作办学高等学校名单

http://www.moe.gov.cn/s78/A03/ghs_left/moe_634/tnull_851.html

编号	合作办学学校	签署协议时间
185	大连海事大学 大连外国语学院
186	福州大学 福建师大 福建农大 福建医大 福建中医学院
187	北京航空航天大学 中国民航管理干部学院
188	北京航空航天大学 内蒙古大学
189	北京航空航天大学 北京农业机械局职工大学
190	北京联合大学 北方交通大学
191	大连理工大学 大连海事大学
192	哈尔滨工程大学 黑龙江交通高等专科学校
193	南京大学 南京中医药大学
194	复旦大学 同济大学 上海外国语大学 上海理工大学 上海水产大学 上海海运学院 上海体育学院 上海财经大学 上海电力学院
195	上海交通大学 华东师范大学 华东政法学院 华东理工大学 中国纺织大学 上海铁道大学 上海医科大学
196	南京经济学院 江苏财经高等专科学校
197	南京审计学院 江苏省省级机关干部业余大学
198	苏州大学 常熟高等专科学校
199	南京师范大学 南通师范专科学校
200	南京师范大学 盐城师范专科学校
201	南京师范大学 南京师范专科学校
202	南京师范大学 镇江师范专科学校
203	南京师范大学 江苏省教育学院
204	常州技术师范学院 常熟高等专科学校
205	苏州市职工大学 苏州市建工局职工大学
206	淮阴工业专科学校 淮阴市机械工业职工大学 江苏省农垦职工大学 常州轻工业职工大学 常州市职工大学
207	苏州市职工大学 苏州市丝绸职工大学
208	南昌航空工业学院 南昌水利水电高等专科学校
209	湖南农业大学 广西农学院(已并入新的广西大学)
210	湖南农业大学 湖北农学院
211	四川音乐学院 西安音乐学院
212	四川音乐学院 武汉音乐学院
213	自贡高等专科学校 四川工业学院
214	自贡高等专科学校 四川轻化工学院
215	自贡高等专科学校 西南民族学院
216	自贡高等专科学校 成都气象学院
217	自贡高等专科学校 重庆大学
218	自贡高等专科学校 四川省广播电视大学(自贡分校)
219	攀枝花大学 四川联合大学
220	攀枝花大学 重庆邮电学院
221	攀枝花大学 成都体育学院
222	攀枝花大学 重庆大学
223	攀枝花大学 四川教育学院
224	攀枝花大学 重庆建筑大学
225	攀枝花大学 昆明理工大学
226	四川美术学院 涪陵师范高等专科学校
227	云南公安高等专科学校 云南师范大学
